site,Trap,latitude,longitude,Year,date,GPaphid,BLH
E-51,A,37.80719,-106.07557,2024,6/6/2024,0,1
E-51,B,37.80719,-106.07557,2024,6/6/2024,0,0
E-51,C,37.80719,-106.07557,2024,6/6/2024,0,2
E-60,A,37.80608,-105.90836,2024,6/6/2024,1,0
E-60,B,37.80608,-105.90836,2024,6/6/2024,0,1
E-60,C,37.80608,-105.90836,2024,6/6/2024,0,0
C-3,A,37.76156,-106.1914,2024,6/6/2024,0,0
C-3,B,37.76156,-106.1914,2024,6/6/2024,0,0
C-3,C,37.76156,-106.1914,2024,6/6/2024,0,0
C-7,A,37.76197,-106.10181,2024,6/6/2024,0,0
C-7,B,37.76197,-106.10181,2024,6/6/2024,0,0
C-7,C,37.76197,-106.10181,2024,6/6/2024,1,0
C-13,A,37.74855,-105.92827,2024,6/6/2024,0,1
C-13,B,37.74855,-105.92827,2024,6/6/2024,0,0
C-13,C,37.74855,-105.92827,2024,6/6/2024,0,0
8-3,A,37.69127,-106.18399,2024,6/6/2024,0,0
8-3,B,37.69127,-106.18399,2024,6/6/2024,0,0
8-3,C,37.69127,-106.18399,2024,6/6/2024,0,0
8-11,A,37.68908,-106.03678,2024,6/6/2024,0,0
8-11,B,37.68908,-106.03678,2024,6/6/2024,0,0
8-11,C,37.68908,-106.03678,2024,6/6/2024,0,0
MV-6,A,37.61977,-106.15104,2024,6/6/2024,0,0
MV-6,B,37.61977,-106.15104,2024,6/6/2024,0,0
MV-6,C,37.61977,-106.15104,2024,6/6/2024,0,0
MV-12,A,37.61647,-106.04654,2024,6/6/2024,0,0
MV-12,B,37.61647,-106.04654,2024,6/6/2024,0,0
MV-12,C,37.61647,-106.04654,2024,6/6/2024,0,1
Mosca,A,37.64902,-105.88987,2024,6/6/2024,0,0
Mosca,B,37.64902,-105.88987,2024,6/6/2024,0,1
Mosca,C,37.64902,-105.88987,2024,6/6/2024,0,0
E-51,A,37.80719,-106.07557,2024,6/13/2024,0,2
E-51,B,37.80719,-106.07557,2024,6/13/2024,0,1
E-51,C,37.80719,-106.07557,2024,6/13/2024,0,1
E-60,A,37.80608,-105.90836,2024,6/13/2024,0,0
E-60,B,37.80608,-105.90836,2024,6/13/2024,0,1
E-60,C,37.80608,-105.90836,2024,6/13/2024,0,0
C-3,A,37.76156,-106.1914,2024,6/13/2024,0,3
C-3,B,37.76156,-106.1914,2024,6/13/2024,0,0
C-3,C,37.76156,-106.1914,2024,6/13/2024,0,0
C-7,A,37.76197,-106.10181,2024,6/13/2024,0,0
C-7,B,37.76197,-106.10181,2024,6/13/2024,0,1
C-7,C,37.76197,-106.10181,2024,6/13/2024,0,1
C-13,A,37.74855,-105.92827,2024,6/13/2024,0,0
C-13,B,37.74855,-105.92827,2024,6/13/2024,0,0
C-13,C,37.74855,-105.92827,2024,6/13/2024,0,1
8-3,A,37.69127,-106.18399,2024,6/13/2024,0,1
8-3,B,37.69127,-106.18399,2024,6/13/2024,0,0
8-3,C,37.69127,-106.18399,2024,6/13/2024,0,1
8-11,A,37.68908,-106.03678,2024,6/13/2024,0,1
8-11,B,37.68908,-106.03678,2024,6/13/2024,0,0
8-11,C,37.68908,-106.03678,2024,6/13/2024,0,0
MV-6,A,37.61977,-106.15104,2024,6/13/2024,0,1
MV-6,B,37.61977,-106.15104,2024,6/13/2024,0,2
MV-6,C,37.61977,-106.15104,2024,6/13/2024,0,3
MV-12,A,37.61647,-106.04654,2024,6/13/2024,0,0
MV-12,B,37.61647,-106.04654,2024,6/13/2024,0,0
MV-12,C,37.61647,-106.04654,2024,6/13/2024,0,0
Mosca,A,37.64902,-105.88987,2024,6/13/2024,0,0
Mosca,B,37.64902,-105.88987,2024,6/13/2024,0,0
Mosca,C,37.64902,-105.88987,2024,6/13/2024,0,0
E-51,A,37.80719,-106.07557,2024,6/20/2024,0,3
E-51,B,37.80719,-106.07557,2024,6/20/2024,0,2
E-51,C,37.80719,-106.07557,2024,6/20/2024,0,0
E-60,A,37.80608,-105.90836,2024,6/20/2024,0,1
E-60,B,37.80608,-105.90836,2024,6/20/2024,0,0
E-60,C,37.80608,-105.90836,2024,6/20/2024,0,0
C-3,A,37.76156,-106.1914,2024,6/20/2024,0,2
C-3,B,37.76156,-106.1914,2024,6/20/2024,0,4
C-3,C,37.76156,-106.1914,2024,6/20/2024,0,1
C-7,A,37.76197,-106.10181,2024,6/20/2024,0,0
C-7,B,37.76197,-106.10181,2024,6/20/2024,0,1
C-7,C,37.76197,-106.10181,2024,6/20/2024,0,2
C-13,A,37.74855,-105.92827,2024,6/20/2024,0,3
C-13,B,37.74855,-105.92827,2024,6/20/2024,0,3
C-13,C,37.74855,-105.92827,2024,6/20/2024,0,1
8-3,A,37.69127,-106.18399,2024,6/20/2024,0,3
8-3,B,37.69127,-106.18399,2024,6/20/2024,0,0
8-3,C,37.69127,-106.18399,2024,6/20/2024,0,2
8-11,A,37.68908,-106.03678,2024,6/20/2024,0,0
8-11,B,37.68908,-106.03678,2024,6/20/2024,0,0
8-11,C,37.68908,-106.03678,2024,6/20/2024,0,0
MV-6,A,37.61977,-106.15104,2024,6/20/2024,0,5
MV-6,B,37.61977,-106.15104,2024,6/20/2024,0,5
MV-6,C,37.61977,-106.15104,2024,6/20/2024,0,0
MV-12,A,37.61647,-106.04654,2024,6/20/2024,0,1
MV-12,B,37.61647,-106.04654,2024,6/20/2024,0,1
MV-12,C,37.61647,-106.04654,2024,6/20/2024,0,1
Mosca,A,37.64902,-105.88987,2024,6/20/2024,0,0
Mosca,B,37.64902,-105.88987,2024,6/20/2024,0,1
Mosca,C,37.64902,-105.88987,2024,6/20/2024,0,0
E-51,A,37.80719,-106.07557,2024,6/27/2024,0,0
E-51,B,37.80719,-106.07557,2024,6/27/2024,0,2
E-51,C,37.80719,-106.07557,2024,6/27/2024,0,1
E-60,A,37.80608,-105.90836,2024,6/27/2024,0,0
E-60,B,37.80608,-105.90836,2024,6/27/2024,0,0
E-60,C,37.80608,-105.90836,2024,6/27/2024,0,0
C-3,A,37.76156,-106.1914,2024,6/27/2024,0,0
C-3,B,37.76156,-106.1914,2024,6/27/2024,0,1
C-3,C,37.76156,-106.1914,2024,6/27/2024,0,1
C-7,A,37.76197,-106.10181,2024,6/27/2024,0,1
C-7,B,37.76197,-106.10181,2024,6/27/2024,0,1
C-7,C,37.76197,-106.10181,2024,6/27/2024,0,0
C-13,A,37.74855,-105.92827,2024,6/27/2024,0,1
C-13,B,37.74855,-105.92827,2024,6/27/2024,0,0
C-13,C,37.74855,-105.92827,2024,6/27/2024,0,0
8-3,A,37.69127,-106.18399,2024,6/27/2024,0,2
8-3,B,37.69127,-106.18399,2024,6/27/2024,0,1
8-3,C,37.69127,-106.18399,2024,6/27/2024,0,2
8-11,A,37.68908,-106.03678,2024,6/27/2024,0,0
8-11,B,37.68908,-106.03678,2024,6/27/2024,0,0
8-11,C,37.68908,-106.03678,2024,6/27/2024,0,0
MV-6,A,37.61977,-106.15104,2024,6/27/2024,0,1
MV-6,B,37.61977,-106.15104,2024,6/27/2024,0,0
MV-6,C,37.61977,-106.15104,2024,6/27/2024,0,0
MV-12,A,37.61647,-106.04654,2024,6/27/2024,0,0
MV-12,B,37.61647,-106.04654,2024,6/27/2024,0,0
MV-12,C,37.61647,-106.04654,2024,6/27/2024,0,1
Mosca,A,37.64902,-105.88987,2024,6/27/2024,0,0
Mosca,B,37.64902,-105.88987,2024,6/27/2024,0,0
Mosca,C,37.64902,-105.88987,2024,6/27/2024,0,0
E-51,A,37.80719,-106.07557,2024,7/4/2024,0,1
E-51,B,37.80719,-106.07557,2024,7/4/2024,0,0
E-51,C,37.80719,-106.07557,2024,7/4/2024,0,0
E-60,A,37.80608,-105.90836,2024,7/4/2024,0,0
E-60,B,37.80608,-105.90836,2024,7/4/2024,0,0
E-60,C,37.80608,-105.90836,2024,7/4/2024,0,0
C-3,A,37.76156,-106.1914,2024,7/4/2024,0,0
C-3,B,37.76156,-106.1914,2024,7/4/2024,0,0
